code,ticker,company
2914,2914.T,日本たばこ産業
4502,4502.T,武田薬品工業
4503,4503.T,アステラス製薬
5020,5020.T,ENEOSホールディングス
5108,5108.T,ブリヂストン
5401,5401.T,日本製鉄
5411,5411.T,JFEホールディングス
6178,6178.T,日本郵政
6301,6301.T,小松製作所
6501,6501.T,日立製作所
7270,7270.T,SUBARU
7751,7751.T,キヤノン
8001,8001.T,伊藤忠商事
8002,8002.T,丸紅
8015,8015.T,豊田通商
8031,8031.T,三井物産
8053,8053.T,住友商事
8058,8058.T,三菱商事
8306,8306.T,三菱UFJフィナンシャル・グループ
8316,8316.T,三井住友フィナンシャルグループ
8411,8411.T,みずほフィナンシャルグループ
8591,8591.T,オリックス
8601,8601.T,大和証券グループ本社
8604,8604.T,野村ホールディングス
8725,8725.T,MS&ADインシュアランスグループ
8750,8750.T,第一生命ホールディングス
8766,8766.T,東京海上ホールディングス
8801,8801.T,三井不動産
8802,8802.T,三菱地所
8830,8830.T,住友不動産
9101,9101.T,日本郵船
9104,9104.T,商船三井
9107,9107.T,川崎汽船
9432,9432.T,日本電信電話
9433,9433.T,KDDI
9434,9434.T,ソフトバンク
9501,9501.T,東京電力ホールディングス
9502,9502.T,中部電力
9503,9503.T,関西電力
9531,9531.T,東京ガス
9532,9532.T,大阪ガス
1928,1928.T,積水ハウス
1925,1925.T,大和ハウス工業
4188,4188.T,三菱ケミカルグループ
4183,4183.T,三井化学
4061,4061.T,デンカ
5201,5201.T,AGC
5711,5711.T,三菱マテリアル
5713,5713.T,住友金属鉱山
5802,5802.T,住友電気工業
6113,6113.T,アマダ
6471,6471.T,日本精工
6472,6472.T,NTN
7201,7201.T,日産自動車
7202,7202.T,いすゞ自動車
7203,7203.T,トヨタ自動車
7267,7267.T,本田技研工業
8308,8308.T,りそなホールディングス
8354,8354.T,ふくおかフィナンシャルグループ
8795,8795.T,T&Dホールディングス
